date,totalJW,is_holiday
2024-05-30,2,0
2024-05-31,0,0
2024-06-01,0,1
2024-06-02,0,1
2024-06-03,0,0
2024-06-04,0,0
2024-06-05,1,0
2024-06-06,0,0
2024-06-07,1,0
2024-06-08,0,1
2024-06-09,0,1
2024-06-10,0,1
2024-06-11,0,0
2024-06-12,0,0
2024-06-13,0,0
2024-06-14,1,0
2024-06-15,0,1
2024-06-16,0,1
2024-06-17,0,0
2024-06-18,1,0
2024-06-19,0,0
2024-06-20,1,0
2024-06-21,0,0
2024-06-22,0,1
2024-06-23,0,1
2024-06-24,2,0
2024-06-25,1,0
2024-06-26,0,0
2024-06-27,1,0
2024-06-28,1,0
2024-06-29,0,1
2024-06-30,0,1
2024-07-01,0,1
2024-07-02,0,1
2024-07-03,0,1
2024-07-04,0,1
2024-07-05,0,1
2024-07-06,0,1
2024-07-07,0,1
2024-07-08,0,1
2024-07-09,0,1
2024-07-10,0,1
2024-07-11,0,1
2024-07-12,0,1
2024-07-13,0,1
2024-07-14,0,1
2024-07-15,3,0
2024-07-16,1,0
2024-07-17,0,0
2024-07-18,1,0
2024-07-19,0,0
2024-07-20,0,1
2024-07-21,0,1
2024-07-22,0,0
2024-07-23,0,0
2024-07-24,0,0
2024-07-25,0,0
2024-07-26,3,0
2024-07-27,0,1
2024-07-28,0,1
2024-07-29,0,0
2024-07-30,1,0
2024-07-31,2,0
2024-08-01,2,0
2024-08-02,5,0
2024-08-03,0,1
2024-08-04,0,1
2024-08-05,4,0
2024-08-06,0,0
2024-08-07,1,0
