date,totalNearmiss,totalVehicleNearCol,totalJW,is_holiday
2024-05-28,0,0,2,0
2024-05-29,0,0,0,0
2024-05-30,0,0,7,0
2024-05-31,0,0,3,0
2024-06-01,0,0,0,1
2024-06-02,0,0,0,1
2024-06-03,0,0,0,0
2024-06-04,0,0,0,0
2024-06-05,0,0,6,0
2024-06-06,0,0,2,0
2024-06-07,0,0,3,0
2024-06-08,0,0,1,1
2024-06-09,0,0,0,1
2024-06-10,0,0,9,1
2024-06-11,0,0,2,0
2024-06-12,0,2,1,0
2024-06-13,0,0,1,0
2024-06-14,0,0,4,0
2024-06-15,0,0,4,1
2024-06-16,0,0,6,1
2024-06-17,0,0,5,0
2024-06-18,0,0,5,0
2024-06-19,0,0,2,0
2024-06-20,0,0,6,0
2024-06-21,0,0,3,0
2024-06-22,0,0,10,1
2024-06-23,0,0,1,1
2024-06-24,0,0,5,0
2024-06-25,0,10,6,0
2024-06-26,0,6,5,0
2024-06-27,0,10,5,0
2024-06-28,0,6,12,0
2024-06-29,0,3,4,1
2024-06-30,0,3,1,1
2024-07-01,0,3,12,1
2024-07-02,0,5,15,1
2024-07-03,0,8,14,1
2024-07-04,0,6,17,1
2024-07-05,0,8,19,1
2024-07-06,0,8,14,1
2024-07-07,0,4,8,1
2024-07-08,0,2,13,1
2024-07-09,0,4,5,1
2024-07-10,0,6,7,1
2024-07-11,0,12,10,1
2024-07-12,0,10,11,1
2024-07-13,0,6,8,1
2024-07-14,0,6,8,1
2024-07-15,0,5,1,0
2024-07-16,1,9,3,0
2024-07-17,0,10,1,0
2024-07-18,2,11,9,0
2024-07-19,0,6,3,0
2024-07-20,0,2,1,1
2024-07-21,0,6,12,1
2024-07-22,0,10,5,0
2024-07-23,0,4,4,0
2024-07-24,0,13,8,0
2024-07-25,0,8,12,0
2024-07-26,0,8,6,0
2024-07-27,0,3,6,1
2024-07-28,0,3,8,1
2024-07-29,0,4,8,0
2024-07-30,0,6,18,0
2024-07-31,0,15,11,0
2024-08-01,0,4,6,0
2024-08-02,0,8,9,0
2024-08-03,0,7,15,1
2024-08-04,0,3,25,1
2024-08-05,0,4,9,0
2024-08-06,0,0,0,0
2024-08-07,0,13,6,0
2024-08-08,0,7,13,0
2024-08-09,0,8,13,0
2024-08-10,0,4,8,1
2024-08-11,0,1,17,1
2024-08-12,0,3,4,0
